id,sno,state,city,format_type,store_code,store_name,company_name,gst_in,state_code,address,superwisor,coordinator,afm,ship_ddress,ship_name,ship_state,ship_gst,costcenter
,144,Telangana,Nizamabad,Smart Point,U701,Adanna Complex,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,GF Old Muncipal Nos 3 10 923 10 124 to 128 Ward No 3Block No 5 Shivaji Nagar Nizamabad 503001 Telangana,Karpe Srinivas,Karpe Srinivas,Jakku. Shankar,GF Old Muncipal Nos 3 10 923 10 124 to 128 Ward No 3Block No 5 Shivaji Nagar Nizamabad 503001 Telangana,Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Nizamabad
,145,Telangana,Karim Nagar,Smart,2946,Karim Nagar,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,Plot No 74 and H.No 3-1-727/1;Dr Ambedkar Road;Karim Nagar town;505001,Ravi Kumar,Ravi Kumar,Katukoori Sairam,Plot No 74 and H.No 3-1-727/1;Dr Ambedkar Road;Karim Nagar town;505001,Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Karim Nagar
,146,Telangana,Siddipet,Smart,2950,Siddipet,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"
H No 12-3-187 / 1-2-3-4, 12-3-187/19 Medak Road, Murshadgadda Siddipet 
Hyderabad 502103
",Ravi Kumar,Ravi Kumar,Katukoori Sairam,"
H No 12-3-187 / 1-2-3-4, 12-3-187/19 Medak Road, Murshadgadda Siddipet 
Hyderabad 502103
",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Siddipet
,147,Telangana,Karim Nagar,Trends Footwear,5741,Karim Nagar,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Survey Nos 1342-1347-1348B -1349, OPP S R R Govt College Vivekanandpuri, Jagtilal Road, Karimnagar - 505001",T Srinivas,T Srinivas,Katukoori Sairam,"Survey Nos 1342-1347-1348B -1349, OPP S R R Govt College Vivekanandpuri, Jagtilal Road, Karimnagar - 505001",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Karim Nagar
,148,Telangana,Karim Nagar,Trends,5743,Karim Nagar,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Reliance Retail Limited,Sy.No. 134213471348B& 1349,Opp. SRR Govt. College,Vivekanandapuri,Karimnagar-505001",Ravi Kumar,Ravi Kumar,Katukoori Sairam,"Reliance Retail Limited,Sy.No. 134213471348B& 1349,Opp. SRR Govt. College,Vivekanandapuri,Karimnagar-505001",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Karim Nagar
,149,Telangana,Karim Nagar,Digital,6917,Karim Nagar,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"RRL, CDIT, Vivekanandpuri, Karimnagar, Sy.No. 1342,1347,1348B& 1349, Opp. SRR Govt. College, Vivekanandapuri, Karimnagar, Telangana",T Srinivas,T Srinivas,Katukoori Sairam,"RRL, CDIT, Vivekanandpuri, Karimnagar, Sy.No. 1342,1347,1348B& 1349, Opp. SRR Govt. College, Vivekanandapuri, Karimnagar, Telangana",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Karim Nagar
,150,Telangana,Hyderabad,Digital,9183,Siddipet,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"RRL CDIT Siddipet, Ground & First Floor H No 12-3192/1, Situated At Mohinpura Street Medak Road, Siddipet Medak District Telangana,",Ravi Kumar,Ravi Kumar,Katukoori Sairam,"RRL CDIT Siddipet, Ground & First Floor H No 12-3192/1, Situated At Mohinpura Street Medak Road, Siddipet Medak District Telangana,",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Hyderabad
,151,Telangana,Channnur,Smart Point,U19O, Chennur smart point,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"SP Chennur Town,GF Plot No-15,SY No:983,chennur Muncipallity Dist-Mancherial,Telenagan-504201 ",M Shivaji,M Shivaji,Katukoori Sairam,"SP Chennur Town,GF Plot No-15,SY No:983,chennur Muncipallity Dist-Mancherial,Telenagan-504201 ",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Channnur
,152,Telangana,Vemulawada,Smart Point,FR6F,Vemulawada,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Ground floor, House No. 9-2-83 and 9-2-83/4, Vemulawada, Telangana - 505302",Ravi Kumar,Ravi Kumar,Katukoori Sairam,"Ground floor, House No. 9-2-83 and 9-2-83/4, Vemulawada, Telangana - 505302",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Vemulawada
,153,Telangana,Karim Nagar,Smart Point,FR6H,Gandhi Road KMR,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Hno-6-5-320 , 321 ,322 Gandhi Road , Karimnagar-505455",Ravi Kumar,Ravi Kumar,Katukoori Sairam,"Hno-6-5-320 , 321 ,322 Gandhi Road , Karimnagar-505455",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Karim Nagar
